"","X","Account.Number","Customer.ID","Due.Date","Modified.Date","Online.Order.Flag","Order.Date","Sales.Person.ID","Sales.Order.Number","Ship.Date","Freight","Sub.Total","Tax.Amt","Total.Due"
"1",3493,"10-4030-012270",12270,"2007-01-06","2007-01-01",TRUE,"2006-12-25",NA,"SO48671","2007-01-01",51.2275,2049.0982,163.9279,2264.2536
"2",3958,"10-4030-013131",13131,"2007-01-06","2007-01-01",TRUE,"2006-12-25",NA,"SO48673","2007-01-01",51.2275,2049.0982,163.9279,2264.2536
"3",4260,"10-4030-013715",13715,"2007-01-06","2007-01-01",TRUE,"2006-12-25",NA,"SO48670","2007-01-01",54.5391,2181.5625,174.525,2410.6266
"4",6538,"10-4030-018626",18626,"2007-01-06","2007-01-01",TRUE,"2006-12-25",NA,"SO48668","2007-01-01",25.0109,1000.4375,80.035,1105.4834
"5",6753,"10-4030-019293",19293,"2007-01-06","2007-01-01",TRUE,"2006-12-25",NA,"SO48669","2007-01-01",19.5748,782.99,62.6392,865.204
"6",6793,"10-4030-019341",19341,"2007-01-06","2007-01-01",TRUE,"2006-12-25",NA,"SO48667","2007-01-01",25.0109,1000.4375,80.035,1105.4834
"7",7920,"10-4030-022950",22950,"2007-01-06","2007-01-01",TRUE,"2006-12-25",NA,"SO48672","2007-01-01",54.5391,2181.5625,174.525,2410.6266
"8",8949,"10-4030-026548",26548,"2007-01-06","2007-01-01",TRUE,"2006-12-25",NA,"SO48674","2007-01-01",19.5748,782.99,62.6392,865.204
"9",3585,"10-4030-012391",12391,"2007-01-07","2007-01-02",TRUE,"2006-12-26",NA,"SO48677","2007-01-02",51.2275,2049.0982,163.9279,2264.2536
"10",3931,"10-4030-013091",13091,"2007-01-07","2007-01-02",TRUE,"2006-12-26",NA,"SO48682","2007-01-02",51.7855,2071.4196,165.7136,2288.9187
"11",3971,"10-4030-013160",13160,"2007-01-07","2007-01-02",TRUE,"2006-12-26",NA,"SO48681","2007-01-02",51.7855,2071.4196,165.7136,2288.9187
"12",4269,"10-4030-013729",13729,"2007-01-07","2007-01-02",TRUE,"2006-12-26",NA,"SO48676","2007-01-02",61.0838,2443.35,195.468,2699.9018
"13",5035,"10-4030-015079",15079,"2007-01-07","2007-01-02",TRUE,"2006-12-26",NA,"SO48675","2007-01-02",54.5391,2181.5625,174.525,2410.6266
"14",8983,"10-4030-026608",26608,"2007-01-07","2007-01-02",TRUE,"2006-12-26",NA,"SO48679","2007-01-02",51.7855,2071.4196,165.7136,2288.9187
"15",8999,"10-4030-026627",26627,"2007-01-07","2007-01-02",TRUE,"2006-12-26",NA,"SO48678","2007-01-02",51.2275,2049.0982,163.9279,2264.2536
"16",9223,"10-4030-027242",27242,"2007-01-07","2007-01-02",TRUE,"2006-12-26",NA,"SO48680","2007-01-02",19.5748,782.99,62.6392,865.204
"17",3538,"10-4030-012317",12317,"2007-01-08","2007-01-03",TRUE,"2006-12-27",NA,"SO48687","2007-01-03",51.7855,2071.4196,165.7136,2288.9187
"18",3957,"10-4030-013130",13130,"2007-01-08","2007-01-03",TRUE,"2006-12-27",NA,"SO48690","2007-01-03",51.2275,2049.0982,163.9279,2264.2536
"19",4268,"10-4030-013728",13728,"2007-01-08","2007-01-03",TRUE,"2006-12-27",NA,"SO48685","2007-01-03",61.0838,2443.35,195.468,2699.9018
"20",5765,"10-4030-016534",16534,"2007-01-08","2007-01-03",TRUE,"2006-12-27",NA,"SO48684","2007-01-03",54.5391,2181.5625,174.525,2410.6266
"21",6115,"10-4030-017648",17648,"2007-01-08","2007-01-03",TRUE,"2006-12-27",NA,"SO48683","2007-01-03",25.0109,1000.4375,80.035,1105.4834
"22",7929,"10-4030-022966",22966,"2007-01-08","2007-01-03",TRUE,"2006-12-27",NA,"SO48688","2007-01-03",54.5391,2181.5625,174.525,2410.6266
"23",8413,"10-4030-024914",24914,"2007-01-08","2007-01-03",TRUE,"2006-12-27",NA,"SO48689","2007-01-03",25.0109,1000.4375,80.035,1105.4834
"24",8709,"10-4030-025999",25999,"2007-01-08","2007-01-03",TRUE,"2006-12-27",NA,"SO48686","2007-01-03",54.5391,2181.5625,174.525,2410.6266
"25",8950,"10-4030-026549",26549,"2007-01-08","2007-01-03",TRUE,"2006-12-27",NA,"SO48691","2007-01-03",19.5748,782.99,62.6392,865.204
"26",3534,"10-4030-012315",12315,"2007-01-09","2007-01-04",TRUE,"2006-12-28",NA,"SO48694","2007-01-04",51.2275,2049.0982,163.9279,2264.2536
"27",3935,"10-4030-013103",13103,"2007-01-09","2007-01-04",TRUE,"2006-12-28",NA,"SO48701","2007-01-04",51.2275,2049.0982,163.9279,2264.2536
"28",3947,"10-4030-013115",13115,"2007-01-09","2007-01-04",TRUE,"2006-12-28",NA,"SO48699","2007-01-04",51.2275,2049.0982,163.9279,2264.2536
"29",4133,"10-4030-013519",13519,"2007-01-09","2007-01-04",TRUE,"2006-12-28",NA,"SO48700","2007-01-04",51.2275,2049.0982,163.9279,2264.2536
"30",6359,"10-4030-018171",18171,"2007-01-09","2007-01-04",TRUE,"2006-12-28",NA,"SO48692","2007-01-04",25.0109,1000.4375,80.035,1105.4834
"31",7907,"10-4030-022933",22933,"2007-01-09","2007-01-04",TRUE,"2006-12-28",NA,"SO48697","2007-01-04",54.5391,2181.5625,174.525,2410.6266
"32",7952,"10-4030-023100",23100,"2007-01-09","2007-01-04",TRUE,"2006-12-28",NA,"SO48696","2007-01-04",61.0838,2443.35,195.468,2699.9018
"33",8705,"10-4030-025995",25995,"2007-01-09","2007-01-04",TRUE,"2006-12-28",NA,"SO48693","2007-01-04",61.0838,2443.35,195.468,2699.9018
"34",8996,"10-4030-026624",26624,"2007-01-09","2007-01-04",TRUE,"2006-12-28",NA,"SO48695","2007-01-04",51.2275,2049.0982,163.9279,2264.2536
"35",9015,"10-4030-026647",26647,"2007-01-09","2007-01-04",TRUE,"2006-12-28",NA,"SO48698","2007-01-04",51.2275,2049.0982,163.9279,2264.2536
"36",3528,"10-4030-012305",12305,"2007-01-10","2007-01-05",TRUE,"2006-12-29",NA,"SO48710","2007-01-05",51.7855,2071.4196,165.7136,2288.9187
